feature,cramers_v,p_value
cem,0.194570018494162,0.0
factor_agresor_consumo_alcohol,0.17486874991414156,0.0
amenaza_de_muerte,0.17300633044452982,0.0
ubigeo_nombre,0.16417203826420465,0.0
ubigeo_codigo,0.16417203826420465,0.0
factor_agresor_consume_droga,0.1544192253449857,0.0
dpto_domicilio,0.15046765555638264,0.0
violacion,0.14866344650504792,0.0
punetazos,0.11837670665786175,0.0
desea_patrocinio_legal,0.11679074967688506,0.0
estado_agresor_g,0.1160133949126621,0.0
otra_vpsi,0.10972004815902969,0.0
empujones,0.10767745258090655,0.0
ahorcamiento,0.1053131920863071,0.0
primera_vez_agrede,0.1042002349368055,0.0
frecuencia_agrede,0.10154345550112001,0.0
jalones_cabello,0.10053137763759624,0.0
vinculo_familiar,0.0985145864508989,0.0
desvalorizacion_humillacion,0.09694861005807835,0.0
desea_denunciar,0.09429183820413271,0.0
vinculo_agresor_victima,0.0908677052773373,0.0
puntapies_patadas,0.08919274713776391,0.0
dist_domicilio,0.08915755549328759,0.0
vinculo_afectivo_familia,0.08732255073145515,0.0
vigilancia_continua_persecucion,0.08651740598602914,0.0
negligencia,0.0830851728401511,0.0
estado_agresor_u_a,0.08166146988191263,0.0
sexo_agresor,0.08079461473653766,0.0
situacion_agresor,0.0792502734421798,0.0
vinculo_afectivo_ninguno,0.07862064579089661,0.0
prov_domicilio,0.07838560151400384,0.0
sexo_victima,0.0783496133878482,0.0
redes_fam_soc,0.0776119522890283,0.0
estado_victima_g,0.0750840400556698,0.0
nivel_educativo_agresor,0.07493644710814865,0.0
edad_victima,0.07437436837395013,0.0
condicion,0.07408335293265564,0.0
bofetadas,0.07200338783765053,0.0
otras_amenazas,0.07082657064761785,0.0
cuenta_medidas_proteccion,0.06796747787812185,0.0
nivel_educativo_victima,0.06779511242427422,0.0
rompe_destruye_cosas,0.06693836713663996,0.0
modalidades_vcm,0.06634006950988447,0.0
sin_vinculo,0.06452248091420536,0.0
anio_mes,0.0643353661574922,0.0
vinculo_pareja,0.06328646736237242,0.0
victima_gestando,0.06172669127856488,0.0
anio,0.0585225129396515,0.0
atencion_medica,0.05631640252814031,0.0
ocupacion_agresor,0.053520066872789415,0.0
antecedente_desaparicion,0.05320735841902063,0.0
edad_agresor,0.05305212165141215,0.0
prohibe_estudiar_trabajar_salir,0.05297019352798371,2.288971900869807e-305
caso_tentativa_de_feminicidio,0.05249489705313584,0.0
hijos_vivos_0_17,0.05158524656675932,0.0
gritos_insultos,0.051136822324723955,1.2098749930134646e-284
acude_sola,0.05104177520808311,0.0
otra_vfis,0.04961254793090217,5.706334498928681e-268
