feature,cramers_v,p_value
violacion,0.6108295152582313,0.0
gritos_insultos,0.5664629229952377,0.0
empujones,0.4893752656625961,0.0
punetazos,0.48137078879918954,0.0
vinculo_agresor_victima,0.4559825313861352,0.0
sin_vinculo,0.4433864290432082,0.0
primera_vez_agrede,0.3950715449457237,0.0
jalones_cabello,0.37487806704474314,0.0
bofetadas,0.3671319040275346,0.0
puntapies_patadas,0.341039756537296,0.0
informante,0.3371590741887822,0.0
desvalorizacion_humillacion,0.33173005767789415,0.0
estudia,0.3271470867757494,0.0
edad_victima,0.32583929188173555,0.0
otra_vfis,0.3235592559230573,0.0
otra_vpsi,0.3156409920534379,0.0
estado_agresor_g,0.28423881821389785,0.0
actos_contra_el_pudor,0.28176398849131207,0.0
frecuencia_agrede,0.2806994607529665,0.0
vinculo_pareja,0.28012763110454336,0.0
estado_victima_g,0.2797517662682389,0.0
negligencia,0.2592771364675452,0.0
otra_vsex,0.2554173426294317,0.0
lugar_estudia,0.23948821413999685,0.0
vinculo_familiar,0.2356098290762162,0.0
tipo_gestion_estudia,0.23547496173016821,0.0
edad_agresor,0.2208481126822418,0.0
otras_agresiones,0.21481750133339297,0.0
ahorcamiento,0.21424338638769028,0.0
acude_sola,0.20884691535588432,0.0
agresor_vive_casa_victima,0.18556239286072768,0.0
latigazo,0.18098172491311773,0.0
trabaja_victima,0.17754940213694892,0.0
nivel_educativo_victima,0.1746540476979223,0.0
sexo_agresor,0.167470317328126,0.0
nivel_educativo_agresor,0.16076475238424745,0.0
golpes_con_palos,0.15642237968307537,0.0
trabaja_agresor,0.15332683960951116,0.0
hijas_vivas_0_17,0.15190416092106337,0.0
agresor_peruano,0.15185369129200682,0.0
otras_amenazas,0.14871147582780248,0.0
hijos_vivos_0_17,0.14830083079918588,0.0
golpes_con_objetos_contundentes,0.1462264235254843,0.0
agresor_extranjero,0.1457191324614186,0.0
ocupacion_agresor,0.1416096708266882,0.0
rechazo,0.13863425881387773,0.0
factor_agresor_consumo_alcohol,0.1347934111811076,0.0
ocupacion_victima,0.13302296809002787,0.0
botar_casa,0.12295864247955007,0.0
hijas_vivas_18_mas,0.12052483415002634,0.0
amenaza_de_muerte,0.11905742578150864,0.0
estado_civil_victima,0.11784544570057073,0.0
hijos_vivos_18_mas,0.11737353795195582,0.0
indiferencia,0.11735507717280427,0.0
sexo_victima,0.11697805548658542,0.0
condicion,0.11122427225300682,0.0
agresor_cuenta_dni,0.10011389818866304,0.0
amenaza_quitar_hijos,0.09854608574096463,0.0
estado_agresor_u_a,0.09630370073086011,0.0
n_anos,0.09624088329865274,0.0
estado_victima_u_a,0.09572947149639512,0.0
cem,0.09566504139045512,0.0
atencion_medica,0.09377441380781466,0.0
n_meses,0.09125679456573986,0.0
n_semanas,0.08843208920755899,0.0
ubigeo_nombre,0.08804689619471698,0.0
ubigeo_codigo,0.08804689619471696,0.0
victima_gestando,0.08690095222859377,0.0
hijos_vivos,0.08517625618571939,0.0
hijas_vivas,0.0851694275739162,0.0
dpto_domicilio,0.08354754320409434,0.0
interpuso_denuncia,0.08026403655277806,0.0
vinculo_afectivo_familia,0.07824728015738026,0.0
rompe_destruye_cosas,0.07726925034043433,0.0
agresor_area_residencia_domicilio,0.07689869715245437,0.0
lengua_materna_victima,0.07526179907568967,0.0
situacion_agresor,0.07525813232340214,0.0
vigilancia_continua_persecucion,0.07498609836942001,0.0
etnia_victima,0.07465153143640603,0.0
cuenta_medidas_proteccion,0.06285318631925195,0.0
desea_denunciar,0.06234291602749157,0.0
redes_fam_soc,0.06077808332272079,0.0
vinculo_afectivo_ninguno,0.05935765310818479,0.0
abandono,0.05929839654936136,0.0
