feature,perm_importance
nivel_riesgo_victima_orig,0.6692796736950429
tipo_violencia_orig,0.0
factor_agresor_consumo_alcohol,0.0
ubigeo_nombre,0.0
ubigeo_codigo,0.0
amenaza_de_muerte,0.0
cem,0.0
violacion,0.0
factor_agresor_consume_droga,0.0
dpto_domicilio,0.0
edad_victima,0.0
anio_mes,0.0
estado_agresor_g,0.0
frecuencia_agrede,0.0
dist_domicilio,0.0
edad_agresor,0.0
desvalorizacion_humillacion,0.0
punetazos,0.0
prov_domicilio,0.0
vinculo_familiar,0.0
desea_patrocinio_legal,0.0
estado_victima_g,0.0
desea_denunciar,0.0
vinculo_agresor_victima,0.0
mes,0.0
otra_vpsi,0.0
ocupacion_agresor,0.0
condicion,0.0
primera_vez_agrede,0.0
nivel_educativo_victima,0.0
gritos_insultos,0.0
nivel_educativo_agresor,0.0
empujones,0.0
anio,0.0
vinculo_pareja,0.0
cuenta_medidas_proteccion,0.0
ahorcamiento,0.0
negligencia,0.0
situacion_agresor,0.0
estado_agresor_u_a,0.0
