feature,rfe_rank,rfe_selected
nivel_riesgo_victima_orig,1,1
ubigeo_nombre,1,1
tipo_violencia_orig,1,1
factor_agresor_consumo_alcohol,1,1
amenaza_de_muerte,1,1
cem,2,0
ubigeo_codigo,2,0
factor_agresor_consume_droga,2,0
desea_denunciar,2,0
ahorcamiento,2,0
prohibe_estudiar_trabajar_salir,3,0
abandono,3,0
sin_vinculo,3,0
negligencia,3,0
vigilancia_continua_persecucion,3,0
actos_contra_el_pudor,4,0
prohibe_recibir_visitas,4,0
amenaza_quitar_hijos,4,0
factor_victima_discapacidad,4,0
vinculo_afectivo_amigos,4,0
victima_peruana,5,0
otro_seguro,5,0
golpes_con_objetos_contundentes,5,0
otra_vsex,5,0
vinculo_afectivo_otro,5,0
