feature,rfe_rank,rfe_selected
sin_vinculo,1,1
gritos_insultos,1,1
vinculo_agresor_victima,1,1
empujones,1,1
violacion,1,1
punetazos,1,1
jalones_cabello,1,1
bofetadas,1,1
vinculo_pareja,1,1
desvalorizacion_humillacion,1,1
edad_victima,1,1
puntapies_patadas,1,1
otra_vpsi,1,1
frecuencia_agrede,1,1
otra_vfis,1,1
negligencia,1,1
otra_vsex,1,1
vinculo_familiar,1,1
golpes_con_objetos_contundentes,1,1
estado_victima_g,1,1
informante,2,0
lugar_estudia,2,0
tipo_gestion_estudia,2,0
estado_agresor_g,2,0
primera_vez_agrede,2,0
