variable,dtype_inicial,n_unicos,nulos,pct_nulos
violencia_carcelaria,object,1,936834,99.9999
victima_apatrida,object,1,936830,99.9995
agresor_apatrida,object,1,936828,99.9993
agresor_asilado,object,1,936824,99.9988
victima_asilado,object,1,936820,99.9984
agresor_solicitante_asilo,object,1,936815,99.9979
victima_solicitante_asilo,object,1,936803,99.9966
acoso_politico,object,1,936796,99.9958
percepcion_salario_menor,object,1,936748,99.9907
violencia_tics,object,1,936716,99.9873
vulnerabilidad_victima_lgtbi,object,1,936713,99.987
explotacion_sexual,object,1,936651,99.9804
agresor_refugiado,object,1,936620,99.9771
victima_refugiado,object,1,936576,99.9724
agresor_solicitante_refugio,object,1,936468,99.9608
vulnerabilidad_victima_vih,object,1,936396,99.9531
prohibir_des_laboral,object,1,936383,99.9518
lugar_tentativa_de_feminicidio,object,11,936366,99.9499
agresor_otra_sit_migr,object,1,936363,99.9496
vulnerabilidad_victima_lgbti,object,1,936346,99.9478
victima_solicitante_refugio,object,1,936305,99.9434
quemadura,object,1,936292,99.942
pornografia,object,1,936272,99.9399
trata_con_fines_explotacion_sexual,object,1,936146,99.9265
obligacion_alimentos,object,1,936114,99.923
victima_otra_sit_migr,object,1,936081,99.9195
sustraer_ingresos,object,1,936041,99.9152
discr_orientacion_sexual,object,1,935797,99.8892
movil_tentativa_de_feminicidio,object,13,935714,99.8803
modalidad_tentativa_de_feminicidio,object,13,935708,99.8797
destruir_inst_trabajo,object,1,935612,99.8695
factor_victima_consume_drogas,object,1,935348,99.8413
fraccion_recursos_nec,object,1,935348,99.8413
vinculo_afectivo_asociaciones,object,1,935311,99.8373
control_de_ingresos,object,1,934842,99.7873
discr_identidad_genero,object,1,934804,99.7832
menoscabo_tenencia_bienes,object,1,934801,99.7829
otra_vecon_patrim,object,1,934538,99.7548
otro_tratamiento,object,1,934331,99.7327
vinculo_afectivo_companeros_trabajo,object,1,934063,99.7041
hostigamiento_sexual,object,1,934036,99.7012
acoso_sex_esp_pub,object,1,933915,99.6883
destruir_bien_personal,object,1,933835,99.6798
factor_victima_abuso_consumo_alcohol,object,1,933546,99.6489
pnp_seguro,object,1,933506,99.6447
mordedura,object,1,932584,99.5462
acoso_sexual,object,1,932115,99.4962
privado_seguro,object,1,932089,99.4934
heridas_con_armas,object,1,932082,99.4927
perturbacion_posesion,object,1,931968,99.4805
vinculo_afectivo_organizaciones_civicas,object,1,931932,99.4766
violencia_racial,object,1,931895,99.4727
tratamiento_psiquiatrico,object,1,931438,99.4239
victima_ninguna_sit_migr,object,1,931013,99.3785
privacion_medios_indispensables,object,1,930332,99.3059
agresor_ninguna_sit_migr,object,1,930139,99.2853
perdida_derechos_patrimoniales,object,1,929810,99.2501
vinculo_afectivo_otro,object,1,926697,98.9178
otro_seguro,object,3,925465,98.7863
abandono,object,1,924972,98.7337
factor_victima_discapacidad,object,1,924590,98.6929
otra_vsex,object,1,924526,98.6861
prohibe_recibir_visitas,object,1,923741,98.6023
golpes_con_objetos_contundentes,object,1,923613,98.5887
agresor_pais_extranjero,object,84,923388,98.5646
agresor_carne_extranjeria,object,2,923253,98.5502
prohibe_estudiar_trabajar_salir,object,1,923205,98.5451
limitacion_recursos_economicos,object,1,922061,98.423
actos_contra_el_pudor,object,1,922045,98.4213
golpes_con_palos,object,1,921924,98.4084
incumplimiento_obligacion_alimentaria,object,1,921796,98.3947
atencion_medica,object,1,921767,98.3916
victima_pais_extranjero,object,79,920965,98.306
victima_carne_extranjeria,object,2,920965,98.306
discr_genero,object,1,920033,98.2065
latigazo,object,1,916965,97.879
vinculo_afectivo_vecinos,object,1,911954,97.3441
otras_agresiones,object,1,908407,96.9655
ahorcamiento,object,1,907778,96.8984
rompe_destruye_cosas,object,1,906881,96.8026
tratamiento_psicologico,object,1,903496,96.4413
vinculo_afectivo_ninguno,object,1,901200,96.1962
vigilancia_continua_persecucion,object,1,899637,96.0294
negligencia,object,1,898220,95.8781
vinculo_afectivo_amigos,object,1,894550,95.4864
amenaza_quitar_hijos,object,1,888452,94.8355
factor_agresor_consume_droga,object,1,884642,94.4288
indiferencia,object,1,874612,93.3582
otra_vfis,object,1,873867,93.2786
violacion,object,1,870087,92.8752
puntapies_patadas,object,1,869665,92.8301
botar_casa,object,1,865933,92.4318
bofetadas,object,1,858898,91.6808
ningun_seguro,object,2,856873,91.4647
jalones_cabello,object,1,855605,91.3293
hijos_vivas_18_mas,object,11,853347,91.0883
hijos_vivas_0_17,object,10,853347,91.0883
amenaza_de_muerte,object,1,852073,90.9523
rechazo,object,1,848231,90.5422
sin_vinculo,object,10,836270,89.2655
apoyo_instrumental,object,3,827256,88.3033
otras_amenazas,object,1,812605,86.7394
punetazos,object,1,812553,86.7338
apoyo_material,object,6,811910,86.6652
otra_vpsi,object,1,808276,86.2773
apoyo_cognitivo,object,3,807375,86.1811
empujones,object,1,806213,86.0571
donde_interpuso_denuncia,object,3,790816,84.4136
n_anos,object,62,776822,82.9198
n_meses,object,12,776822,82.9198
n_semanas,object,5,776822,82.9198
essalud_seguro,object,2,770717,82.2682
apoyo_emocional,object,4,758402,80.9536
hijas_vivas,object,11,742031,79.2062
hijos_vivos,object,11,742031,79.2062
desea_denunciar,object,2,732663,78.2062
factor_agresor_consumo_alcohol,object,1,729258,77.8427
agresor_area_residencia_domicilio,object,2,657633,70.1973
ocupacion_victima,object,113,626034,66.8244
modalidades_vcm,object,13,622630,66.461
tipo_gestion_estudia,object,3,620670,66.2518
lugar_estudia,object,4,620463,66.2297
desvalorizacion_humillacion,object,1,564464,60.2522
antecedente_desaparicion,object,2,563409,60.1396
situacion_agresor,object,7,562378,60.0296
vinculo_familiar,object,19,547220,58.4116
vinculo_pareja,object,10,490180,52.323
gritos_insultos,object,1,331741,35.4108
hijos_vivos_18_mas,object,13,278292,29.7056
hijos_vivos_0_17,object,11,278292,29.7056
sis_seguro,object,2,262534,28.0235
ocupacion_agresor,object,113,255239,27.2448
cuenta_medidas_proteccion,object,2,204174,21.794
cuenta_medidas_cautelares,object,2,204174,21.794
