fecha_ts,n_denuncias
2020-01-01,18373
2020-02-01,17082
2020-03-01,9311
2020-07-01,5639
2020-08-01,4876
2020-09-01,7548
2020-10-01,17466
2020-11-01,17601
2020-12-01,16067
2021-01-01,13902
2021-02-01,11820
2021-03-01,14864
2021-04-01,12550
2021-05-01,13285
2021-06-01,13584
2021-07-01,12849
2021-08-01,14557
2021-09-01,14763
2021-10-01,14099
2021-11-01,13869
2021-12-01,13013
2022-01-01,12054
2022-02-01,12842
2022-03-01,14733
2022-04-01,13402
2022-05-01,14349
2022-06-01,12979
2022-07-01,12185
2022-08-01,12603
2022-09-01,12402
2022-10-01,12319
2022-11-01,12725
2022-12-01,10913
2023-01-01,12502
2023-02-01,12313
2023-03-01,14072
2023-04-01,13331
2023-05-01,14565
2023-06-01,14705
2023-07-01,14381
2023-08-01,14959
2023-09-01,14682
2023-10-01,14713
2023-11-01,13628
2023-12-01,11787
2024-01-01,13580
2024-02-01,12857
2024-03-01,12955
2024-04-01,14703
2024-05-01,14245
2024-06-01,13285
2024-07-01,13787
2024-08-01,13992
2024-09-01,14649
2024-10-01,15404
2024-11-01,14717
2024-12-01,13623
2025-01-01,14645
2025-02-01,13550
2025-03-01,14633
2025-04-01,14495
2025-05-01,14098
2025-06-01,14326
2025-07-01,13707
2025-08-01,13745
2025-09-01,14708
2025-10-01,14469
2025-11-01,14084
2025-12-01,12341
