ubigeo_nombre,count
Lima | Lima | San Juan de Lurigancho,21296
Lima | Lima | San Martín de Porres,17385
Lima | Lima | Ate,15630
Lima | Lima | Villa María del Triunfo,13460
Arequipa | Arequipa | Paucarpata,12888
Callao | Prov. Const. del Callao | Callao,12185
Arequipa | Arequipa | Cerro Colorado,11664
Lima | Lima | Villa El Salvador,11318
Lima | Lima | Puente Piedra,9902
Áncash | Santa | Chimbote,9048
Lima | Lima | Lima,8805
Áncash | Santa | Nuevo Chimbote,8684
Lima | Lima | Chorrillos,8622
Lima | Lima | Los Olivos,8412
Cusco | Cusco | San Sebastian,7701
Cusco | Cusco | Santiago,7313
Lima | Lima | Comas,7114
Arequipa | Arequipa | Cayma,7103
La Libertad | Trujillo | El Porvenir,6526
Lima | Lima | La Victoria,6387
