feature,score_cv,score_mi,score_rf,score_perm,score_rfe,score_consenso
nivel_riesgo_victima_orig,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
tipo_violencia_orig,0.9844961240310077,0.9689922480620154,0.9922480620155039,0.975,1.0,0.9822093023255815
factor_agresor_consumo_alcohol,0.9767441860465116,0.9534883720930233,0.9844961240310077,0.95,1.0,0.96984496124031
ubigeo_nombre,0.9534883720930233,0.9767441860465116,0.9767441860465116,0.925,1.0,0.9640697674418605
amenaza_de_muerte,0.9689922480620154,0.8837209302325582,0.9612403100775194,0.875,1.0,0.9300387596899226
ubigeo_codigo,0.9612403100775194,0.9844961240310077,0.9689922480620154,0.9,0.0,0.8606201550387598
cem,0.9922480620155039,0.9922480620155039,0.9534883720930233,0.85,0.0,0.8548837209302326
factor_agresor_consume_droga,0.9457364341085271,0.9612403100775194,0.937984496124031,0.8,0.0,0.823953488372093
violacion,0.9302325581395349,0.7596899224806202,0.9457364341085271,0.825,0.0,0.7774031007751938
dpto_domicilio,0.937984496124031,0.6976744186046512,0.9302325581395349,0.775,0.0,0.7495736434108528
punetazos,0.9224806201550387,0.7906976744186047,0.8682170542635659,0.575,0.0,0.7142248062015504
desvalorizacion_humillacion,0.8449612403100775,0.7209302325581395,0.875968992248062,0.6,0.0,0.6882170542635658
desea_denunciar,0.8372093023255813,0.8449612403100775,0.8294573643410853,0.44999999999999996,0.0,0.676046511627907
vinculo_familiar,0.8604651162790697,0.689922480620155,0.8527131782945736,0.5249999999999999,0.0,0.6627519379844962
desea_patrocinio_legal,0.9147286821705426,0.6511627906976745,0.8449612403100775,0.5,0.0,0.6569767441860465
otra_vpsi,0.8992248062015504,0.7829457364341086,0.8062015503875969,0.375,0.0,0.6521317829457365
frecuencia_agrede,0.8682170542635659,0.4651162790697675,0.8992248062015504,0.675,0.0,0.6497286821705426
estado_agresor_g,0.9069767441860466,0.3643410852713178,0.9069767441860466,0.7,0.0,0.6392248062015504
ahorcamiento,0.8914728682170543,0.8372093023255813,0.7209302325581395,0.09999999999999998,0.0,0.5878294573643411
empujones,0.8837209302325582,0.7286821705426356,0.751937984496124,0.19999999999999996,0.0,0.5868992248062016
dist_domicilio,0.813953488372093,0.2790697674418605,0.8914728682170543,0.6499999999999999,0.0,0.5854263565891473
negligencia,0.7906976744186047,0.8527131782945736,0.7131782945736433,0.07499999999999996,0.0,0.5646124031007752
edad_victima,0.7131782945736433,0.15503875968992253,0.9224806201550387,0.75,0.0,0.562015503875969
vinculo_agresor_victima,0.8294573643410853,0.3565891472868217,0.8217054263565892,0.42499999999999993,0.0,0.5454651162790698
prov_domicilio,0.751937984496124,0.17829457364341084,0.8604651162790697,0.55,0.0,0.5200775193798449
vigilancia_continua_persecucion,0.7984496124031008,0.8294573643410853,0.6046511627906976,0.0,0.0,0.5182170542635659
anio_mes,0.6434108527131783,0.06201550387596899,0.9147286821705426,0.725,0.0,0.5178682170542636
sin_vinculo,0.6356589147286822,0.8682170542635659,0.6821705426356589,0.0,0.0,0.5147286821705426
edad_agresor,0.6046511627906976,0.13953488372093026,0.8837209302325582,0.625,0.0,0.5017441860465116
situacion_agresor,0.7441860465116279,0.6434108527131783,0.7054263565891473,0.04999999999999993,0.0,0.496046511627907
