feature,score_cv,score_mi,score_rf,score_perm,score_rfe,score_consenso
violacion,1.0,0.9685039370078741,0.9763779527559056,1.0,1.0,0.9862204724409448
empujones,0.984251968503937,0.9763779527559056,1.0,0.975,1.0,0.9859448818897637
gritos_insultos,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9,1.0,0.974488188976378
punetazos,0.9763779527559056,0.9606299212598425,0.984251968503937,0.95,1.0,0.971496062992126
bofetadas,0.937007874015748,0.9448818897637795,0.937007874015748,0.85,1.0,0.9278740157480315
otra_vpsi,0.8818897637795275,0.889763779527559,0.9606299212598425,0.925,1.0,0.9239763779527559
jalones_cabello,0.9448818897637795,0.952755905511811,0.9133858267716536,0.8,1.0,0.9155118110236221
otra_vfis,0.889763779527559,0.8661417322834646,0.9448818897637795,0.875,1.0,0.9057086614173229
puntapies_patadas,0.9291338582677166,0.905511811023622,0.905511811023622,0.775,1.0,0.8935826771653543
negligencia,0.8346456692913387,0.8582677165354331,0.9291338582677166,0.825,1.0,0.8787795275590552
sin_vinculo,0.9606299212598425,1.0,0.952755905511811,0.3999999999999999,1.0,0.8603149606299212
vinculo_agresor_victima,0.9685039370078741,0.984251968503937,0.9685039370078741,0.375,1.0,0.8568897637795275
desvalorizacion_humillacion,0.9133858267716536,0.9291338582677166,0.8818897637795275,0.6,1.0,0.8554330708661417
edad_victima,0.8976377952755905,0.9212598425196851,0.889763779527559,0.475,1.0,0.827283464566929
vinculo_pareja,0.8503937007874016,0.937007874015748,0.8976377952755905,0.44999999999999996,1.0,0.8187401574803149
otra_vsex,0.8267716535433071,0.8503937007874016,0.8031496062992126,0.7,1.0,0.8187401574803149
vinculo_familiar,0.8110236220472441,0.8425196850393701,0.9212598425196851,0.575,1.0,0.8181496062992126
golpes_con_objetos_contundentes,0.6692913385826772,0.8267716535433071,0.7559055118110236,0.625,1.0,0.754527559055118
frecuencia_agrede,0.8582677165354331,0.8740157480314961,0.8740157480314961,0.09999999999999998,1.0,0.7286614173228346
otras_agresiones,0.7874015748031495,0.7952755905511811,0.8425196850393701,0.725,0.0,0.7119291338582678
ahorcamiento,0.7795275590551181,0.8031496062992126,0.8110236220472441,0.675,0.0,0.6944488188976378
latigazo,0.7559055118110236,0.7007874015748031,0.8661417322834646,0.75,0.0,0.6929133858267716
estado_victima_g,0.8425196850393701,0.8110236220472441,0.8346456692913387,0.02499999999999991,1.0,0.6849212598425196
actos_contra_el_pudor,0.8661417322834646,0.7401574803149606,0.7795275590551181,0.5,0.0,0.6531496062992126
informante,0.9212598425196851,0.9133858267716536,0.8188976377952756,0.1499999999999999,0.0,0.6473228346456693
lugar_estudia,0.8188976377952756,0.8976377952755905,0.7952755905511811,0.29999999999999993,0.0,0.647007874015748
sexo_agresor,0.7322834645669292,0.6929133858267716,0.8582677165354331,0.5249999999999999,0.0,0.6392519685039371
estudia,0.905511811023622,0.7795275590551181,0.8267716535433071,0.25,0.0,0.6326771653543307
primera_vez_agrede,0.952755905511811,0.8188976377952756,0.8503937007874016,0.07499999999999996,0.0,0.6228740157480316
golpes_con_palos,0.7165354330708662,0.5511811023622047,0.7716535433070866,0.6499999999999999,0.0,0.604015748031496
