Codigo_dpto,dpto,Codigo_prov,Prov,Codigo_dist,dist
01, Amazonas,01, Chachapoyas,01, Chachapoyas
01, Amazonas,01, Chachapoyas,02, Asunción
01, Amazonas,01, Chachapoyas,03, Balsas
01, Amazonas,01, Chachapoyas,04, Cheto
01, Amazonas,01, Chachapoyas,05, Chiliquin
01, Amazonas,01, Chachapoyas,06, Chuquibamba
01, Amazonas,01, Chachapoyas,07, Granada
01, Amazonas,01, Chachapoyas,08, Huancas
01, Amazonas,01, Chachapoyas,09, La Jalca
01, Amazonas,01, Chachapoyas,10, Leimebamba
01, Amazonas,01, Chachapoyas,11, Levanto
01, Amazonas,01, Chachapoyas,12, Magdalena
01, Amazonas,01, Chachapoyas,13, Mariscal Castilla
01, Amazonas,01, Chachapoyas,14, Molinopampa
01, Amazonas,01, Chachapoyas,15, Montevideo
01, Amazonas,01, Chachapoyas,16, Olleros
01, Amazonas,01, Chachapoyas,17, Quinjalca
01, Amazonas,01, Chachapoyas,18, San Francisco de Daguas
01, Amazonas,01, Chachapoyas,19, San Isidro de Maino
01, Amazonas,01, Chachapoyas,20, Soloco
01, Amazonas,01, Chachapoyas,21, Sonche
01, Amazonas,02, Bagua,01, Bagua
01, Amazonas,02, Bagua,02, Aramango
01, Amazonas,02, Bagua,03, Copallin
01, Amazonas,02, Bagua,04, El Parco
01, Amazonas,02, Bagua,05, Imaza
01, Amazonas,02, Bagua,06, La Peca
01, Amazonas,03, Bongará,01, Jumbilla
01, Amazonas,03, Bongará,02, Chisquilla
01, Amazonas,03, Bongará,03, Churuja
01, Amazonas,03, Bongará,04, Corosha
01, Amazonas,03, Bongará,05, Cuispes
01, Amazonas,03, Bongará,06, Florida
01, Amazonas,03, Bongará,07, Jazan
01, Amazonas,03, Bongará,08, Recta
01, Amazonas,03, Bongará,09, San Carlos
01, Amazonas,03, Bongará,10, Shipasbamba
01, Amazonas,03, Bongará,11, Valera
01, Amazonas,03, Bongará,12, Yambrasbamba
01, Amazonas,04, Condorcanqui,01, Nieva
01, Amazonas,04, Condorcanqui,02, El Cenepa
01, Amazonas,04, Condorcanqui,03, Río Santiago
01, Amazonas,05, Luya,01, Lamud
01, Amazonas,05, Luya,02, Camporredondo
01, Amazonas,05, Luya,03, Cocabamba
01, Amazonas,05, Luya,04, Colcamar
01, Amazonas,05, Luya,05, Conila
01, Amazonas,05, Luya,06, Inguilpata
01, Amazonas,05, Luya,07, Longuita
01, Amazonas,05, Luya,08, Lonya Chico
01, Amazonas,05, Luya,09, Luya
01, Amazonas,05, Luya,10, Luya Viejo
01, Amazonas,05, Luya,11, María
01, Amazonas,05, Luya,12, Ocalli
01, Amazonas,05, Luya,13, Ocumal
01, Amazonas,05, Luya,14, Pisuquia
01, Amazonas,05, Luya,15, Providencia
01, Amazonas,05, Luya,16, San Cristóbal
01, Amazonas,05, Luya,17, San Francisco de Yeso
01, Amazonas,05, Luya,18, San Jerónimo
01, Amazonas,05, Luya,19, San Juan de Lopecancha
01, Amazonas,05, Luya,20, Santa Catalina
01, Amazonas,05, Luya,21, Santo Tomas
01, Amazonas,05, Luya,22, Tingo
01, Amazonas,05, Luya,23, Trita
01, Amazonas,06, Rodríguez de Mendoza,01, San Nicolás
01, Amazonas,06, Rodríguez de Mendoza,02, Chirimoto
01, Amazonas,06, Rodríguez de Mendoza,03, Cochamal
01, Amazonas,06, Rodríguez de Mendoza,04, Huambo
01, Amazonas,06, Rodríguez de Mendoza,05, Limabamba
01, Amazonas,06, Rodríguez de Mendoza,06, Longar
01, Amazonas,06, Rodríguez de Mendoza,07, Mariscal Benavides
01, Amazonas,06, Rodríguez de Mendoza,08, Milpuc
01, Amazonas,06, Rodríguez de Mendoza,09, Omia
01, Amazonas,06, Rodríguez de Mendoza,10, Santa Rosa
01, Amazonas,06, Rodríguez de Mendoza,11, Totora
01, Amazonas,06, Rodríguez de Mendoza,12, Vista Alegre
01, Amazonas,07, Utcubamba,01, Bagua Grande
01, Amazonas,07, Utcubamba,02, Cajaruro
01, Amazonas,07, Utcubamba,03, Cumba
01, Amazonas,07, Utcubamba,04, El Milagro
01, Amazonas,07, Utcubamba,05, Jamalca
01, Amazonas,07, Utcubamba,06, Lonya Grande
01, Amazonas,07, Utcubamba,07, Yamon
02, Áncash,01, Huaraz,01, Huaraz
02, Áncash,01, Huaraz,02, Cochabamba
02, Áncash,01, Huaraz,03, Colcabamba
02, Áncash,01, Huaraz,04, Huanchay
02, Áncash,01, Huaraz,05, Independencia
02, Áncash,01, Huaraz,06, Jangas
02, Áncash,01, Huaraz,07, La Libertad
02, Áncash,01, Huaraz,08, Olleros
02, Áncash,01, Huaraz,09, Pampas Grande
02, Áncash,01, Huaraz,10, Pariacoto
02, Áncash,01, Huaraz,11, Pira
02, Áncash,01, Huaraz,12, Tarica
02, Áncash,02, Aija,01, Aija
02, Áncash,02, Aija,02, Coris
02, Áncash,02, Aija,03, Huacllan
02, Áncash,02, Aija,04, La Merced
02, Áncash,02, Aija,05, Succha
02, Áncash,03, Antonio Raymondi,01, Llamellin
02, Áncash,03, Antonio Raymondi,02, Aczo
02, Áncash,03, Antonio Raymondi,03, Chaccho
02, Áncash,03, Antonio Raymondi,04, Chingas
02, Áncash,03, Antonio Raymondi,05, Mirgas
02, Áncash,03, Antonio Raymondi,06, San Juan de Rontoy
02, Áncash,04, Asunción,01, Chacas
02, Áncash,04, Asunción,02, Acochaca
02, Áncash,05, Bolognesi,01, Chiquian
02, Áncash,05, Bolognesi,02, Abelardo Pardo Lezameta
02, Áncash,05, Bolognesi,03, Antonio Raymondi
02, Áncash,05, Bolognesi,04, Aquia
02, Áncash,05, Bolognesi,05, Cajacay
02, Áncash,05, Bolognesi,06, Canis
02, Áncash,05, Bolognesi,07, Colquioc
02, Áncash,05, Bolognesi,08, Huallanca
02, Áncash,05, Bolognesi,09, Huasta
02, Áncash,05, Bolognesi,10, Huayllacayan
02, Áncash,05, Bolognesi,11, La Primavera
02, Áncash,05, Bolognesi,12, Mangas
02, Áncash,05, Bolognesi,13, Pacllon
02, Áncash,05, Bolognesi,14, San Miguel de Corpanqui
02, Áncash,05, Bolognesi,15, Ticllos
02, Áncash,06, Carhuaz,01, Carhuaz
02, Áncash,06, Carhuaz,02, Acopampa
02, Áncash,06, Carhuaz,03, Amashca
02, Áncash,06, Carhuaz,04, Anta
02, Áncash,06, Carhuaz,05, Ataquero
02, Áncash,06, Carhuaz,06, Marcara
02, Áncash,06, Carhuaz,07, Pariahuanca
02, Áncash,06, Carhuaz,08, San Miguel de Aco
02, Áncash,06, Carhuaz,09, Shilla
02, Áncash,06, Carhuaz,10, Tinco
02, Áncash,06, Carhuaz,11, Yungar
02, Áncash,07, Carlos Fermín Fitzcarrald,01, San Luis
02, Áncash,07, Carlos Fermín Fitzcarrald,02, San Nicolás
02, Áncash,07, Carlos Fermín Fitzcarrald,03, Yauya
02, Áncash,08, Casma,01, Casma
02, Áncash,08, Casma,02, Buena Vista Alta
02, Áncash,08, Casma,03, Comandante Noel
02, Áncash,08, Casma,04, Yautan
02, Áncash,09, Corongo,01, Corongo
02, Áncash,09, Corongo,02, Aco
02, Áncash,09, Corongo,03, Bambas
02, Áncash,09, Corongo,04, Cusca
02, Áncash,09, Corongo,05, La Pampa
02, Áncash,09, Corongo,06, Yanac
02, Áncash,09, Corongo,07, Yupan
02, Áncash,10, Huari,01, Huari
02, Áncash,10, Huari,02, Anra
02, Áncash,10, Huari,03, Cajay
02, Áncash,10, Huari,04, Chavin de Huantar
02, Áncash,10, Huari,05, Huacachi
02, Áncash,10, Huari,06, Huacchis
02, Áncash,10, Huari,07, Huachis
02, Áncash,10, Huari,08, Huantar
02, Áncash,10, Huari,09, Masin
02, Áncash,10, Huari,10, Paucas
02, Áncash,10, Huari,11, Ponto
02, Áncash,10, Huari,12, Rahuapampa
02, Áncash,10, Huari,13, Rapayan
02, Áncash,10, Huari,14, San Marcos
02, Áncash,10, Huari,15, San Pedro de Chana
02, Áncash,10, Huari,16, Uco
02, Áncash,11, Huarmey,01, Huarmey
02, Áncash,11, Huarmey,02, Cochapeti
02, Áncash,11, Huarmey,03, Culebras
02, Áncash,11, Huarmey,04, Huayan
02, Áncash,11, Huarmey,05, Malvas
02, Áncash,12, Huaylas,01, Caraz
02, Áncash,12, Huaylas,02, Huallanca
02, Áncash,12, Huaylas,03, Huata
02, Áncash,12, Huaylas,04, Huaylas
02, Áncash,12, Huaylas,05, Mato
02, Áncash,12, Huaylas,06, Pamparomas
02, Áncash,12, Huaylas,07, Pueblo Libre
02, Áncash,12, Huaylas,08, Santa Cruz
02, Áncash,12, Huaylas,09, Santo Toribio
02, Áncash,12, Huaylas,10, Yuracmarca
02, Áncash,13, Mariscal Luzuriaga,01, Piscobamba
02, Áncash,13, Mariscal Luzuriaga,02, Casca
02, Áncash,13, Mariscal Luzuriaga,03, Eleazar Guzmán Barron
02, Áncash,13, Mariscal Luzuriaga,04, Fidel Olivas Escudero
02, Áncash,13, Mariscal Luzuriaga,05, Llama
02, Áncash,13, Mariscal Luzuriaga,06, Llumpa
02, Áncash,13, Mariscal Luzuriaga,07, Lucma
02, Áncash,13, Mariscal Luzuriaga,08, Musga
02, Áncash,14, Ocros,01, Ocros
02, Áncash,14, Ocros,02, Acas
02, Áncash,14, Ocros,03, Cajamarquilla
02, Áncash,14, Ocros,04, Carhuapampa
02, Áncash,14, Ocros,05, Cochas
02, Áncash,14, Ocros,06, Congas
02, Áncash,14, Ocros,07, Llipa
02, Áncash,14, Ocros,08, San Cristóbal de Rajan
02, Áncash,14, Ocros,09, San Pedro
02, Áncash,14, Ocros,10, Santiago de Chilcas
02, Áncash,15, Pallasca,01, Cabana
02, Áncash,15, Pallasca,02, Bolognesi
02, Áncash,15, Pallasca,03, Conchucos
02, Áncash,15, Pallasca,04, Huacaschuque
02, Áncash,15, Pallasca,05, Huandoval
02, Áncash,15, Pallasca,06, Lacabamba
02, Áncash,15, Pallasca,07, Llapo
02, Áncash,15, Pallasca,08, Pallasca
02, Áncash,15, Pallasca,09, Pampas
02, Áncash,15, Pallasca,10, Santa Rosa
02, Áncash,15, Pallasca,11, Tauca
02, Áncash,16, Pomabamba,01, Pomabamba
02, Áncash,16, Pomabamba,02, Huayllan
02, Áncash,16, Pomabamba,03, Parobamba
02, Áncash,16, Pomabamba,04, Quinuabamba
02, Áncash,17, Recuay,01, Recuay
02, Áncash,17, Recuay,02, Catac
02, Áncash,17, Recuay,03, Cotaparaco
02, Áncash,17, Recuay,04, Huayllapampa
02, Áncash,17, Recuay,05, Llacllin
02, Áncash,17, Recuay,06, Marca
02, Áncash,17, Recuay,07, Pampas Chico
02, Áncash,17, Recuay,08, Pararin
02, Áncash,17, Recuay,09, Tapacocha
02, Áncash,17, Recuay,10, Ticapampa
02, Áncash,18, Santa,01, Chimbote
02, Áncash,18, Santa,02, Cáceres del Perú
02, Áncash,18, Santa,03, Coishco
02, Áncash,18, Santa,04, Macate
02, Áncash,18, Santa,05, Moro
02, Áncash,18, Santa,06, Nepeña
02, Áncash,18, Santa,07, Samanco
02, Áncash,18, Santa,08, Santa
02, Áncash,18, Santa,09, Nuevo Chimbote
02, Áncash,19, Sihuas,01, Sihuas
02, Áncash,19, Sihuas,02, Acobamba
02, Áncash,19, Sihuas,03, Alfonso Ugarte
02, Áncash,19, Sihuas,04, Cashapampa
02, Áncash,19, Sihuas,05, Chingalpo
02, Áncash,19, Sihuas,06, Huayllabamba
